LESTE,NORTE,BOUG
-127205.046650747,7120941.04757801,-70.9515762329102
-125705.046650747,7120941.04757801,-70.6305160522461
-124205.046650747,7120941.04757801,-70.4102630615234
-122705.046650747,7120941.04757801,-70.2679061889648
-121205.046650747,7120941.04757801,-70.0656661987305
-119705.046650747,7120941.04757801,-69.9124298095703
-118205.046650747,7120941.04757801,-69.8737869262695
-116705.046650747,7120941.04757801,-69.9582214355469
-115205.046650747,7120941.04757801,-70.1600494384766
-113705.046650747,7120941.04757801,-70.4524002075195
-112205.046650747,7120941.04757801,-70.8084869384766
-110705.046650747,7120941.04757801,-71.2048492431641
-109205.046650747,7120941.04757801,-71.6273727416992
-107705.046650747,7120941.04757801,-72.0669326782227
-106205.046650747,7120941.04757801,-72.5244216918945
-104705.046650747,7120941.04757801,-73.0068283081055
-103205.046650747,7120941.04757801,-73.5223770141602
-101705.046650747,7120941.04757801,-74.0765762329102
-100205.046650747,7120941.04757801,-74.6787796020508
-98705.046650747,7120941.04757801,-75.3189239501953
-97205.046650747,7120941.04757801,-75.9257736206055
-95705.046650747,7120941.04757801,-76.4538726806641
-94205.046650747,7120941.04757801,-76.9099655151367
-92705.046650747,7120941.04757801,-77.1758346557617
-91205.046650747,7120941.04757801,-76.8363189697266
-89705.046650747,7120941.04757801,-76.4031143188477
-88205.046650747,7120941.04757801,-76.3155059814453
-86705.046650747,7120941.04757801,-76.6101379394531
-85205.046650747,7120941.04757801,-77.2250213623047
-83705.046650747,7120941.04757801,-75.4122772216797
-82205.046650747,7120941.04757801,-75.7174835205078
-80705.046650747,7120941.04757801,-76.4983139038086
-79205.046650747,7120941.04757801,-77.3768997192383
-77705.046650747,7120941.04757801,-78.1147232055664
-76205.046650747,7120941.04757801,-78.7405548095703
-74705.046650747,7120941.04757801,-80.0970840454102
-73205.046650747,7120941.04757801,-81.561149597168
-71705.046650747,7120941.04757801,-82.7246627807617
-70205.046650747,7120941.04757801,-83.49853515625
-68705.046650747,7120941.04757801,-84.3520584106445
-67205.046650747,7120941.04757801,-85.1754684448242
-65705.046650747,7120941.04757801,-86.0804061889648
-64205.046650747,7120941.04757801,-86.8713760375977
-62705.046650747,7120941.04757801,-87.217903137207
-61205.046650747,7120941.04757801,-87.0454940795898
-59705.046650747,7120941.04757801,-86.4587707519531
-58205.046650747,7120941.04757801,-85.6528472900391
-56705.046650747,7120941.04757801,-84.6240692138672
-55205.046650747,7120941.04757801,-83.3333511352539
-53705.046650747,7120941.04757801,-81.8437347412109
-52205.046650747,7120941.04757801,-80.3236770629883
-50705.046650747,7120941.04757801,-79.0258712768555
-49205.046650747,7120941.04757801,-78.0386047363281
-47705.046650747,7120941.04757801,-77.3250350952148
-46205.046650747,7120941.04757801,-76.7544937133789
-44705.046650747,7120941.04757801,-76.3060989379883
-43205.046650747,7120941.04757801,-76.1982116699219
-41705.046650747,7120941.04757801,-76.6710815429688
-40205.046650747,7120941.04757801,-77.1246109008789
-38705.046650747,7120941.04757801,-75.7641983032227
-37205.046650747,7120941.04757801,-76.0602035522461
-35705.046650747,7120941.04757801,-76.9862289428711
-34205.046650747,7120941.04757801,-77.7984848022461
-32705.046650747,7120941.04757801,-78.2732391357422
-31205.046650747,7120941.04757801,-78.2969970703125
